=== ERROR LOG START Tue 29 Jul 17:07:55 BST 2025 ===
[10044.688965] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10044.767174] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10044.853259] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10049.164993] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10049.248400] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10049.318416] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10049.402321] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10049.475218] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10049.561848] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10049.636056] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10049.726248] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10049.798631] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10049.883063] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10054.396991] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10054.459832] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10054.531608] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10054.625138] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10055.111369] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10055.171470] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10055.285820] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10055.470317] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10055.553439] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10055.973063] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10059.957579] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10060.270202] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10060.965319] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10061.269872] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10061.955986] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10062.273296] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10062.944809] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10063.274690] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10063.958310] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10064.271814] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10064.961348] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10065.270544] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10065.951369] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10066.270880] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10066.949295] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10067.274351] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10067.960508] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10068.270841] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10068.955235] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10069.275002] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10070.281495] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
[10070.959297] vc4-drm gpu: swiotlb buffer is full (sz: 524288 bytes), total 32768 (slots), used 504 (slots)
[10071.272683] vc4-drm gpu: swiotlb buffer is full (sz: 393216 bytes), total 32768 (slots), used 1626 (slots)
