[2025-07-29 17:07:55] [INFO] 🚀 Starting comprehensive RPi stability monitoring
[2025-07-29 17:07:55] [INFO] Duration: 3600s | Logs: ./rpi_debug_logs
[2025-07-29 17:07:55] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:07:55] [WARNING] 🔄 APP RESTART DETECTED! Count: 1
[2025-07-29 17:07:55] [INFO] Capturing system logs for crash analysis...
[2025-07-29 17:08:26] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:08:56] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:09:27] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:09:57] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:10:28] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:10:58] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:11:28] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:11:59] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:12:29] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:12:59] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:13:30] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:14:00] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:14:31] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:15:01] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:15:31] [INFO] App running: PID=9542, Memory=202MB
[2025-07-29 17:16:02] [INFO] App running: PID=9542, Memory=202MB
[2025-07-29 17:16:32] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:17:03] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:17:33] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:18:04] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:18:34] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:19:04] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:19:35] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:20:05] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:20:36] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:21:06] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:21:36] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:22:07] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:22:37] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:23:07] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:23:38] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:24:08] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:24:39] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:25:09] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:25:39] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:26:10] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:26:40] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:27:11] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:27:41] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:28:11] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:28:42] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:29:12] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:29:43] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:30:13] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:30:43] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:31:14] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:31:44] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:32:14] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:32:45] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:33:15] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:33:46] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:34:16] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:34:46] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:35:17] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:35:47] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:36:17] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:36:48] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:37:18] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:37:49] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:38:19] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:38:49] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:39:20] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:39:50] [INFO] App running: PID=9542, Memory=204MB
[2025-07-29 17:40:20] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:40:51] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:41:21] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:41:51] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:42:22] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:42:52] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:43:23] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:43:53] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:44:23] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:44:54] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:45:24] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:45:54] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:46:25] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:46:55] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:47:25] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:47:56] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:48:26] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:48:56] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:49:27] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:49:57] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:50:28] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:50:58] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:51:28] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:51:59] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:52:29] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:52:59] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:53:30] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:54:00] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:54:31] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:55:01] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:55:31] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:56:02] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:56:32] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:57:02] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:57:33] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:58:03] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:58:33] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:59:04] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 17:59:34] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:00:04] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:00:35] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:01:05] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:01:36] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:02:06] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:02:36] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:03:07] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:03:37] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:04:07] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:04:38] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:05:08] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:05:38] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:06:09] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:06:39] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:07:10] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:07:40] [INFO] App running: PID=9542, Memory=203MB
[2025-07-29 18:08:10] [INFO] ✅ Monitoring completed. Total restarts detected: 1
[2025-07-29 18:08:10] [INFO] 🛑 Monitoring stopped. Generating summary report...
