timestamp,mem_total,mem_free,mem_available,cpu_temp,cpu_usage,disk_usage,gpu_mem
2025-07-29 17:07:56,mem_total:1840096KB,mem_free:792040KB,mem_available:1325408KB,cpu_temp:40°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:08:26,mem_total:1840096KB,mem_free:790540KB,mem_available:1325280KB,cpu_temp:42°C,cpu_usage:37.5%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:08:56,mem_total:1840096KB,mem_free:765736KB,mem_available:1307636KB,cpu_temp:44°C,cpu_usage:70.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:09:27,mem_total:1840096KB,mem_free:781364KB,mem_available:1299420KB,cpu_temp:44°C,cpu_usage:44.4%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:09:57,mem_total:1840096KB,mem_free:785196KB,mem_available:1303296KB,cpu_temp:46°C,cpu_usage:28.6%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:10:28,mem_total:1840096KB,mem_free:785368KB,mem_available:1303508KB,cpu_temp:46°C,cpu_usage:37.5%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:10:58,mem_total:1840096KB,mem_free:767828KB,mem_available:1293596KB,cpu_temp:48°C,cpu_usage:44.4%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:11:28,mem_total:1840096KB,mem_free:780804KB,mem_available:1316084KB,cpu_temp:49°C,cpu_usage:55.6%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:11:59,mem_total:1840096KB,mem_free:781588KB,mem_available:1317000KB,cpu_temp:49°C,cpu_usage:42.9%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:12:29,mem_total:1840096KB,mem_free:772816KB,mem_available:1314600KB,cpu_temp:50°C,cpu_usage:50.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:12:59,mem_total:1840096KB,mem_free:768028KB,mem_available:1309644KB,cpu_temp:51°C,cpu_usage:37.5%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:13:30,mem_total:1840096KB,mem_free:767608KB,mem_available:1309608KB,cpu_temp:51°C,cpu_usage:42.9%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:14:00,mem_total:1840096KB,mem_free:770356KB,mem_available:1311540KB,cpu_temp:51°C,cpu_usage:50.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:14:31,mem_total:1840096KB,mem_free:772968KB,mem_available:1313996KB,cpu_temp:51°C,cpu_usage:37.5%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:15:01,mem_total:1840096KB,mem_free:773724KB,mem_available:1315052KB,cpu_temp:51°C,cpu_usage:33.3%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:15:31,mem_total:1840096KB,mem_free:752916KB,mem_available:1302168KB,cpu_temp:53°C,cpu_usage:28.6%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:16:02,mem_total:1840096KB,mem_free:763716KB,mem_available:1305488KB,cpu_temp:52°C,cpu_usage:42.9%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:16:32,mem_total:1840096KB,mem_free:741008KB,mem_available:1298788KB,cpu_temp:58°C,cpu_usage:40.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:17:03,mem_total:1840096KB,mem_free:760672KB,mem_available:1304376KB,cpu_temp:53°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:17:33,mem_total:1840096KB,mem_free:766056KB,mem_available:1309752KB,cpu_temp:54°C,cpu_usage:33.3%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:18:04,mem_total:1840096KB,mem_free:762072KB,mem_available:1306060KB,cpu_temp:53°C,cpu_usage:37.5%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:18:34,mem_total:1840096KB,mem_free:761216KB,mem_available:1305244KB,cpu_temp:54°C,cpu_usage:20.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:19:04,mem_total:1840096KB,mem_free:752620KB,mem_available:1303492KB,cpu_temp:54°C,cpu_usage:50.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:19:35,mem_total:1840096KB,mem_free:765452KB,mem_available:1308892KB,cpu_temp:54°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:20:05,mem_total:1840096KB,mem_free:766016KB,mem_available:1309748KB,cpu_temp:53°C,cpu_usage:33.3%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:20:36,mem_total:1840096KB,mem_free:761984KB,mem_available:1305756KB,cpu_temp:54°C,cpu_usage:42.9%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:21:06,mem_total:1840096KB,mem_free:751020KB,mem_available:1302760KB,cpu_temp:54°C,cpu_usage:55.6%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:21:36,mem_total:1840096KB,mem_free:764816KB,mem_available:1309112KB,cpu_temp:54°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:22:07,mem_total:1840096KB,mem_free:764152KB,mem_available:1308252KB,cpu_temp:53°C,cpu_usage:50.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:22:37,mem_total:1840096KB,mem_free:759612KB,mem_available:1303696KB,cpu_temp:54°C,cpu_usage:28.6%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:23:07,mem_total:1840096KB,mem_free:761648KB,mem_available:1305792KB,cpu_temp:54°C,cpu_usage:50.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:23:38,mem_total:1840096KB,mem_free:760052KB,mem_available:1304504KB,cpu_temp:54°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:24:08,mem_total:1840096KB,mem_free:762772KB,mem_available:1306876KB,cpu_temp:54°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:24:39,mem_total:1840096KB,mem_free:764244KB,mem_available:1308420KB,cpu_temp:55°C,cpu_usage:50.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:25:09,mem_total:1840096KB,mem_free:760248KB,mem_available:1304472KB,cpu_temp:55°C,cpu_usage:40.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:25:39,mem_total:1840096KB,mem_free:747508KB,mem_available:1299832KB,cpu_temp:56°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:26:10,mem_total:1840096KB,mem_free:763796KB,mem_available:1308056KB,cpu_temp:55°C,cpu_usage:0.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:26:40,mem_total:1840096KB,mem_free:736660KB,mem_available:1297820KB,cpu_temp:60°C,cpu_usage:33.3%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:27:11,mem_total:1840096KB,mem_free:760640KB,mem_available:1298256KB,cpu_temp:55°C,cpu_usage:16.7%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:27:41,mem_total:1840096KB,mem_free:758328KB,mem_available:1304364KB,cpu_temp:55°C,cpu_usage:42.9%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:28:11,mem_total:1840096KB,mem_free:760092KB,mem_available:1306168KB,cpu_temp:55°C,cpu_usage:40.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:28:42,mem_total:1840096KB,mem_free:762564KB,mem_available:1308688KB,cpu_temp:55°C,cpu_usage:40.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:29:12,mem_total:1840096KB,mem_free:722212KB,mem_available:1251740KB,cpu_temp:56°C,cpu_usage:37.5%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:29:43,mem_total:1840096KB,mem_free:758912KB,mem_available:1282016KB,cpu_temp:55°C,cpu_usage:77.8%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:30:13,mem_total:1840096KB,mem_free:753880KB,mem_available:1277024KB,cpu_temp:56°C,cpu_usage:28.6%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:30:43,mem_total:1840096KB,mem_free:754688KB,mem_available:1277880KB,cpu_temp:55°C,cpu_usage:50.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:31:14,mem_total:1840096KB,mem_free:745208KB,mem_available:1301336KB,cpu_temp:55°C,cpu_usage:33.3%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:31:44,mem_total:1840096KB,mem_free:741948KB,mem_available:1291508KB,cpu_temp:56°C,cpu_usage:50.0%,disk_usage:40%,gpu_mem:128M
2025-07-29 17:32:14,mem_total:1840096KB,mem_free:757612KB,mem_available:1305160KB,cpu_temp:56°C,cpu_usage:25.0%,disk_usage:40%,gpu_mem:128M
